url,domain,status_code,status_class,url_final,elapsed_ms,n_referenciada_por,erro
https://univesp.br/cursos/qualificacao-profissional,univesp.br,404.0,not_found_404,https://univesp.br/cursos/qualificacao-profissional,367,1,
https://portal.mec.gov.br/dmdocuments/ensino_inovador.pdf,portal.mec.gov.br,403.0,forbidden_403,https://portal.mec.gov.br/dmdocuments/ensino_inovador.pdf,172,2,
https://leisestaduais.com.br/rj/decreto-n-31548-2002-rio-de-janeiro-dispoe-sobre-o-programa-de-primeiro-emprego-no-ambito-do-estado-do-rio-de-janeiro-implementado-pela-secretaria-de-estado-de-trabalho-e-da-outras-providencias?__cf_chl_tk=awLzvES0A2WCa2c05U3g3jhBc8e71mLxszMjL49FNdk-1771882529-1.0.1.1-_qJdTMoEDWDmSvAC2zf9C5WGfuD8x7qilbE7BEWNr6Y,leisestaduais.com.br,403.0,forbidden_403,https://leisestaduais.com.br/rj/decreto-n-31548-2002-rio-de-janeiro-dispoe-sobre-o-programa-de-primeiro-emprego-no-ambito-do-estado-do-rio-de-janeiro-implementado-pela-secretaria-de-estado-de-trabalho-e-da-outras-providencias?__cf_chl_tk=awLzvES0A2WCa2c05U3g3jhBc8e71mLxszMjL49FNdk-1771882529-1.0.1.1-_qJdTMoEDWDmSvAC2zf9C5WGfuD8x7qilbE7BEWNr6Y,229,1,
https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/aprendizagem-profissional?utm_source=chatgpt.com,www.gov.br,200.0,ok_200,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/aprendizagem-profissional?utm_source=chatgpt.com,1038,2,
https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/sistema-nacional-de-emprego-sine/casa-do-trabalhador,www.gov.br,200.0,ok_200,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/sistema-nacional-de-emprego-sine/casa-do-trabalhador,1194,3,
https://www.gov.br/trabalho-e-emprego/pt-br/servicos/mte/sine,www.gov.br,200.0,ok_200,https://www.gov.br/trabalho-e-emprego/pt-br/servicos/mte/sine,2285,1,
https://www.gov.br/senappen/pt-br/acesso-a-informacao/politicas-acoes-e-programas/politicas-penais/educacao,www.gov.br,200.0,ok_200,https://www.gov.br/senappen/pt-br/acesso-a-informacao/politicas-acoes-e-programas/politicas-penais/educacao,991,1,
https://www.trilhasdefuturo.mg.gov.br/perguntas-frequentes/index.html,www.trilhasdefuturo.mg.gov.br,200.0,ok_200,https://www.trilhasdefuturo.mg.gov.br/perguntas-frequentes/index.html,30,1,
https://utramig.mg.gov.br/,utramig.mg.gov.br,,timeout,,10009,1,TimeoutException
https://www.gov.br/mec/pt-br/brasil-alfabetizado,www.gov.br,,erro_rede,,163,3,ReadError: [WinError 10054] Foi forçado o cancelamento de uma conexão existente pelo host remoto
https://www.gov.br/mec/pt-br/projovem,www.gov.br,,erro_rede,,144,2,ReadError: [WinError 10054] Foi forçado o cancelamento de uma conexão existente pelo host remoto
https://www.gov.br/mj/pt-br/assuntos/seus-direitos/migracoes/politica-nacional-de-migracoes-refugio-e-apatridia-1,www.gov.br,200.0,ok_200,https://www.gov.br/mj/pt-br/assuntos/seus-direitos/migracoes/politica-nacional-de-migracoes-refugio-e-apatridia-1,1153,2,
https://www.planalto.gov.br/ccivil_03/_Ato2023-2026/2024/Decreto/D12048.htm,www.planalto.gov.br,,timeout,,30166,1,TimeoutException
https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2022/decreto/D10959.htm,www.planalto.gov.br,,timeout,,30167,1,TimeoutException
https://www.gov.br/secom/pt-br/assuntos/noticias-regionalizadas/novo-bolsa-familia/jan.26/bolsa-familia-chega-a-mais-de-542-1-mil-beneficiarios-do-rio-grande-do-sul-a-partir-desta-segunda-19,www.gov.br,200.0,ok_200,https://www.gov.br/secom/pt-br/assuntos/noticias-regionalizadas/novo-bolsa-familia/jan.26/bolsa-familia-chega-a-mais-de-542-1-mil-beneficiarios-do-rio-grande-do-sul-a-partir-desta-segunda-19,2058,1,
